As	BFM.P	MBE.P	BFM.P_STD	MBE.P_STD
10	3.793509E-07	5.066667E-09	5.218094E-09	6.992059E-11
15	4.985251E-07	7.180000E-09	4.825085E-09	2.227106E-10
20	6.750570E-07	9.660000E-09	3.838741E-09	4.615914E-10
25	1.116059E-06	1.416667E-08	1.080263E-08	3.726780E-10
29	1.775580E-06	2.380000E-08	1.009724E-08	1.446836E-09
30	1.904016E-06	2.743333E-08	7.786051E-09	2.060475E-09
35	2.868714E-06	3.930000E-08	2.776684E-08	5.859465E-10
40	3.729777E-06	5.366667E-08	3.225118E-08	1.192570E-09
45	4.670254E-06	6.880000E-08	2.655878E-08	8.717798E-10
50	5.491236E-06	8.333333E-08	2.245398E-08	1.598611E-09
52	5.870666E-06	9.046667E-08	5.677281E-08	1.726911E-09
60	7.096072E-06	1.066667E-07	6.492575E-08	4.714045E-09
80	9.780128E-06	1.510000E-07	7.101799E-08	7.895146E-09
100	1.146411E-05	1.806667E-07	6.518965E-08	8.919392E-09
