As	BFM.P	MBE.P	BFM.P_STD	MBE.P_STD
10	2.628689E-07	7.910000E-10	4.797947E-09	5.255790E-11
15	3.710174E-07	1.726667E-09	6.218064E-09	4.422166E-11
20	5.341794E-07	3.023333E-09	5.170426E-09	4.955356E-11
25	8.871931E-07	5.620000E-09	8.114720E-09	1.514376E-10
30	1.580082E-06	1.106667E-08	1.226314E-08	2.494438E-10
35	2.344311E-06	1.813333E-08	1.971294E-08	4.268749E-10
40	3.140683E-06	2.686667E-08	3.298721E-08	5.617433E-10
45	3.902604E-06	3.560000E-08	3.850177E-08	1.113553E-09
50	4.652509E-06	4.500000E-08	4.503261E-08	1.612452E-09
60	6.011883E-06	6.166667E-08	4.114890E-08	2.712113E-09
80	8.466171E-06	9.603333E-08	8.194199E-08	3.188347E-09
100	9.946886E-06	1.163333E-07	9.627797E-08	4.818944E-09
