,Unnamed: 0,al.mode,al.op,al.op.rate,al.op.tsp,al.pv,al.pv.rate,al.pv.tsp,as.mode,as.op,as.op.rate,as.op.tsp,as.pv,as.pv.rate,as.pv.tsp,ascracker.mode,ascracker.op,ascracker.op.rate,ascracker.op.tsp,ascracker.pv,ascracker.pv.rate,ascracker.pv.tsp,ascracker.valve.op,ga.mode,ga.op,ga.op.rate,ga.op.tsp,ga.pv,ga.pv.rate,ga.pv.tsp,in.mode,in.op,in.op.rate,in.op.tsp,in.pv,in.pv.rate,in.pv.tsp,manip.mode,manip.op,manip.op.rate,manip.pv,manip.pv.rate,manip.pv.tsp,manip.rs.rpm,mbe.p,pyrometer.t,sb.mode,sb.op,sb.op.rate,sb.op.tsp,sb.pv,sb.pv.rate,sb.pv.tsp,sbcond.mode,sbcond.op,sbcond.op.rate,sbcond.op.tsp,sbcond.pv,sbcond.pv.rate,sbcond.pv.tsp,sbcracker.mode,sbcracker.op,sbcracker.op.rate,sbcracker.op.tsp,sbcracker.pv,sbcracker.pv.rate,sbcracker.pv.tsp,shutter.al,shutter.as,shutter.ga,shutter.in,shutter.pyrometer,shutter.sb,shutter.suko,shutter.susi,suko.mode,suko.op,suko.op.rate,suko.op.tsp,suko.pv,suko.pv.rate,suko.pv.tsp,susi.mode,susi.op,susi.op.rate,susi.op.tsp,susi.pv,susi.pv.rate,susi.pv.tsp,this.recipesrunning,time,TimeInMin,time_in_min
0,0,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,1,0.016666667,0.016666667
1,1,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,2,0.033333333,0.033333333
2,2,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,3,0.05,0.05
3,3,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,4,0.066666667,0.066666667
4,4,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,5,0.083333333,0.083333333
5,5,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,6,0.1,0.1
6,6,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,7,0.116666667,0.116666667
7,7,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,8,0.133333333,0.133333333
8,8,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,9,0.15,0.15
9,9,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,10,0.166666667,0.166666667
